t (s),X1 (m),Y1 (m)
0.000000,0.08024,0.05349
0.016667,0.3009,0.214
0.033333,0.4948,0.3744
0.050000,0.682,0.5148
0.066667,0.8558,0.6553
0.083333,1.023,0.7689
0.100000,1.19,0.8826
0.116667,1.351,0.9829
0.133333,1.491,1.07
0.150000,1.631,1.163
0.166667,1.765,1.25
0.183333,1.886,1.324
0.200000,2.006,1.397
0.216667,2.133,1.471
0.233333,2.247,1.531
0.250000,2.36,1.598
0.266667,2.467,1.652
0.283333,2.581,1.705
0.300000,2.675,1.745
0.316667,2.768,1.792
0.333333,2.868,1.845
0.350000,2.969,1.872
0.366667,3.062,1.919
0.383333,3.149,1.939
0.400000,3.243,1.979
0.416667,3.33,1.999
0.433333,3.417,2.033
0.450000,3.497,2.039
0.466667,3.591,2.059
0.483333,3.671,2.073
0.500000,3.758,2.093
0.516667,3.831,2.099
0.533333,3.918,2.113
0.550000,3.998,2.113
0.566667,4.079,2.126
0.583333,4.145,2.126
0.600000,4.239,2.113
0.616667,4.306,2.113
0.633333,4.386,2.113
0.650000,4.453,2.093
0.666667,4.527,2.079
0.683333,4.593,2.073
0.700000,4.674,2.046
0.716667,4.727,2.019
0.733333,4.801,1.999
0.750000,4.874,1.972
0.766667,4.941,1.952
0.783333,5.001,1.932
0.800000,5.068,1.892
0.816667,5.142,1.865
0.833333,5.209,1.825
0.850000,5.269,1.799
0.866667,5.329,1.758
0.883333,5.396,1.705
0.900000,5.463,1.665
0.916667,5.516,1.625
0.933333,5.583,1.565
0.950000,5.637,1.524
0.966667,5.69,1.471
0.983333,5.75,1.411
1.000000,5.81,1.357
1.016667,5.891,1.304
1.033333,5.924,1.244
1.050000,6.004,1.177
1.066667,6.044,1.103
1.083333,6.084,1.043
1.100000,6.151,0.9628
1.116667,6.198,0.9026
1.133333,6.258,0.8558
1.150000,6.332,0.7622
1.166667,6.352,0.6887
1.183333,6.405,0.6084
1.200000,6.459,0.5282
1.216667,6.512,0.448
1.233333,6.559,0.3811
1.250000,6.599,0.2808
1.266667,6.613,0.2942
1.283333,6.66,0.2006
1.300000,6.753,0.03343
1.316667,6.793,-0.05349
1.333333,6.833,-0.1471
1.350000,6.833,-0.1471
1.366667,6.88,-0.2407
1.383333,6.927,-0.3343
1.400000,6.967,-0.4279
1.416667,7.007,-0.5148
1.433333,7.034,-0.6151
1.450000,7.087,-0.7154
